Station ID,Station Name,Year,Month,Rainfall (mm),Latitude,Longitude
076031,MILDURA AIRPORT,2010,1,8.4,-34.23,142.08
076031,MILDURA AIRPORT,2010,2,19.8,-34.23,142.08
076031,MILDURA AIRPORT,2010,3,35.8,-34.23,142.08
076031,MILDURA AIRPORT,2010,4,18.8,-34.23,142.08
076031,MILDURA AIRPORT,2010,5,51.2,-34.23,142.08
076031,MILDURA AIRPORT,2010,6,14.6,-34.23,142.08
076031,MILDURA AIRPORT,2010,7,25.6,-34.23,142.08
076031,MILDURA AIRPORT,2010,8,28.8,-34.23,142.08
076031,MILDURA AIRPORT,2010,9,54.8,-34.23,142.08
076031,MILDURA AIRPORT,2010,10,88.8,-34.23,142.08
076031,MILDURA AIRPORT,2010,11,103.6,-34.23,142.08
076031,MILDURA AIRPORT,2010,12,141,-34.23,142.08
076031,MILDURA AIRPORT,2011,1,129.4,-34.23,142.08
076031,MILDURA AIRPORT,2011,2,192.6,-34.23,142.08
076031,MILDURA AIRPORT,2011,3,122,-34.23,142.08
076031,MILDURA AIRPORT,2011,4,12.6,-34.23,142.08
076031,MILDURA AIRPORT,2011,5,14.2,-34.23,142.08
076031,MILDURA AIRPORT,2011,6,10.6,-34.23,142.08
076031,MILDURA AIRPORT,2011,7,15.2,-34.23,142.08
076031,MILDURA AIRPORT,2011,8,20.8,-34.23,142.08
076031,MILDURA AIRPORT,2011,9,7.2,-34.23,142.08
076031,MILDURA AIRPORT,2011,10,27.6,-34.23,142.08
076031,MILDURA AIRPORT,2011,11,43.4,-34.23,142.08
076031,MILDURA AIRPORT,2011,12,61.8,-34.23,142.08
076031,MILDURA AIRPORT,2012,1,12.6,-34.23,142.08
076031,MILDURA AIRPORT,2012,2,36.6,-34.23,142.08
076031,MILDURA AIRPORT,2012,3,64.2,-34.23,142.08
076031,MILDURA AIRPORT,2012,4,4,-34.23,142.08
076031,MILDURA AIRPORT,2012,5,2.6,-34.23,142.08
076031,MILDURA AIRPORT,2012,6,8,-34.23,142.08
076031,MILDURA AIRPORT,2012,7,41.4,-34.23,142.08
076031,MILDURA AIRPORT,2012,8,17,-34.23,142.08
076031,MILDURA AIRPORT,2012,9,13.2,-34.23,142.08
076031,MILDURA AIRPORT,2012,10,6,-34.23,142.08
076031,MILDURA AIRPORT,2012,11,4.6,-34.23,142.08
076031,MILDURA AIRPORT,2012,12,4.4,-34.23,142.08
076031,MILDURA AIRPORT,2013,1,1.2,-34.23,142.08
076031,MILDURA AIRPORT,2013,2,14.6,-34.23,142.08
076031,MILDURA AIRPORT,2013,3,10.8,-34.23,142.08
076031,MILDURA AIRPORT,2013,4,6.2,-34.23,142.08
076031,MILDURA AIRPORT,2013,5,29.2,-34.23,142.08
076031,MILDURA AIRPORT,2013,6,35.8,-34.23,142.08
076031,MILDURA AIRPORT,2013,7,14.8,-34.23,142.08
076031,MILDURA AIRPORT,2013,8,10.4,-34.23,142.08
076031,MILDURA AIRPORT,2013,9,18.8,-34.23,142.08
076031,MILDURA AIRPORT,2013,10,14.4,-34.23,142.08
