Year,Month,Reservoir,System,Capacity_ML,Volume_ML,Percent_Full
2010,1,White Swan,Ballarat,14107,11998,85
2010,2,White Swan,Ballarat,14107,11928,84.6
2010,3,White Swan,Ballarat,14107,12138,86
2010,4,White Swan,Ballarat,14107,11538,81.8
2010,5,White Swan,Ballarat,14107,10876,77.1
2010,6,White Swan,Ballarat,14107,10635,75.4
2010,7,White Swan,Ballarat,14107,10665,75.6
2010,8,White Swan,Ballarat,14107,12297,87.2
2010,9,White Swan,Ballarat,14107,13358,94.7
2010,10,White Swan,Ballarat,14107,13631,96.6
2010,11,White Swan,Ballarat,14107,13544,96
2010,12,White Swan,Ballarat,14107,13556,96.1
2011,1,White Swan,Ballarat,14107,13643,96.7
2011,2,White Swan,Ballarat,14107,13420,95.1
2011,3,White Swan,Ballarat,14107,13187,93.5
2011,4,White Swan,Ballarat,14107,13346,94.6
2011,5,White Swan,Ballarat,14107,13199,93.6
2011,6,White Swan,Ballarat,14107,13371,94.8
2011,7,White Swan,Ballarat,14107,13494,95.7
2011,8,White Swan,Ballarat,14107,13334,94.5
2011,9,White Swan,Ballarat,14107,13236,93.8
2011,10,White Swan,Ballarat,14107,13482,95.6
2011,11,White Swan,Ballarat,14107,13235,93.8
2011,12,White Swan,Ballarat,14107,13199,93.6
2012,1,White Swan,Ballarat,14107,12546,88.9
2012,2,White Swan,Ballarat,14107,11774,83.5
2012,3,White Swan,Ballarat,14107,11284,80
2012,4,White Swan,Ballarat,14107,10785,76.5
2012,5,White Swan,Ballarat,14107,10352,73.4
2012,6,White Swan,Ballarat,14107,10331,73.2
2012,7,White Swan,Ballarat,14107,11394,80.8
2012,8,White Swan,Ballarat,14107,12955,91.8
2012,9,White Swan,Ballarat,14107,13223,93.7
2012,10,White Swan,Ballarat,14107,13346,94.6
2012,11,White Swan,Ballarat,14107,13248,93.9
2012,12,White Swan,Ballarat,14107,13346,94.6
2013,1,White Swan,Ballarat,14107,12678,89.9
2013,2,White Swan,Ballarat,14107,11981,84.9
2013,3,White Swan,Ballarat,14107,11141,79
2013,4,White Swan,Ballarat,14107,10530,74.6
2013,5,White Swan,Ballarat,14107,9918,70.3
2013,6,White Swan,Ballarat,14107,9457,67
2013,7,White Swan,Ballarat,14107,9154,64.9
2013,8,White Swan,Ballarat,14107,9756,69.2
2013,9,White Swan,Ballarat,14107,10352,73.4
2013,10,White Swan,Ballarat,14107,10498,74.4
2013,11,White Swan,Ballarat,14107,11152,79.1
2013,12,White Swan,Ballarat,14107,11449,81.2
2014,1,White Swan,Ballarat,14107,10935,77.5
2014,2,White Swan,Ballarat,14107,9827,69.7
2014,3,White Swan,Ballarat,14107,9359,66.3
2014,4,White Swan,Ballarat,14107,8896,63.1
2014,5,White Swan,Ballarat,14107,8632,61.2
2014,6,White Swan,Ballarat,14107,8540,60.5
2014,7,White Swan,Ballarat,14107,8642,61.3
2014,8,White Swan,Ballarat,14107,10414,73.8
2014,9,White Swan,Ballarat,14107,10753,76.2
2014,10,White Swan,Ballarat,14107,10721,76
2014,11,White Swan,Ballarat,14107,10764,76.3
2014,12,White Swan,Ballarat,14107,10175,72.1
2015,1,White Swan,Ballarat,14107,9125,64.7
2015,2,White Swan,Ballarat,14107,8558,60.7
2015,3,White Swan,Ballarat,14107,7601,53.9
2015,4,White Swan,Ballarat,14107,7228,51.2
2015,5,White Swan,Ballarat,14107,7022,49.8
2015,6,White Swan,Ballarat,14107,6916,49
2015,7,White Swan,Ballarat,14107,6860,48.6
2015,8,White Swan,Ballarat,14107,6955,49.3
2015,9,White Swan,Ballarat,14107,7413,52.5
2015,10,White Swan,Ballarat,14107,7618,54
2015,11,White Swan,Ballarat,14107,7405,52.5
2015,12,White Swan,Ballarat,14107,6965,49.4
2016,1,White Swan,Ballarat,14107,6732,47.7
2016,2,White Swan,Ballarat,14107,6673,47.3
2016,3,White Swan,Ballarat,14107,7030,49.8
2016,4,White Swan,Ballarat,14107,7396,52.4
2016,5,White Swan,Ballarat,14107,7636,54.1
2016,6,White Swan,Ballarat,14107,8274,58.7
2016,7,White Swan,Ballarat,14107,10903,77.3
2016,8,White Swan,Ballarat,14107,12895,91.4
2016,9,White Swan,Ballarat,14107,14475,102.6
2016,10,White Swan,Ballarat,14107,14182,100.5
2016,11,White Swan,Ballarat,14107,14246,101
2016,12,White Swan,Ballarat,14107,14271,101.2
2017,1,White Swan,Ballarat,14107,14094,99.9
2017,2,White Swan,Ballarat,14107,13868,98.3
2017,3,White Swan,Ballarat,14107,13593,96.4
2017,4,White Swan,Ballarat,14107,13705,97.2
2017,5,White Swan,Ballarat,14107,13211,93.6
2017,6,White Swan,Ballarat,14107,12297,87.2
2017,7,White Swan,Ballarat,14107,11706,83
2017,8,White Swan,Ballarat,14107,12475,88.4
2017,9,White Swan,Ballarat,14107,13556,96.1
2017,10,White Swan,Ballarat,14107,13334,94.5
2017,11,White Swan,Ballarat,14107,13028,92.4
2017,12,White Swan,Ballarat,14107,12943,91.7
2018,1,White Swan,Ballarat,14107,12642,89.6
2018,2,White Swan,Ballarat,14107,12086,85.7
2018,3,White Swan,Ballarat,14107,11560,81.9
2018,4,White Swan,Ballarat,14107,11141,79
2018,5,White Swan,Ballarat,14107,10721,76
2018,6,White Swan,Ballarat,14107,10404,73.8
2018,7,White Swan,Ballarat,14107,9766,69.2
2018,8,White Swan,Ballarat,14107,10372,73.5
2018,9,White Swan,Ballarat,14107,10668,75.6
2018,10,White Swan,Ballarat,14107,10657,75.5
2018,11,White Swan,Ballarat,14107,10849,76.9
2018,12,White Swan,Ballarat,14107,10317,73.1
2019,1,White Swan,Ballarat,14107,9918,70.3
2019,2,White Swan,Ballarat,14107,9193,65.2
2019,3,White Swan,Ballarat,14107,8447,59.9
2019,4,White Swan,Ballarat,14107,8174,57.9
2019,5,White Swan,Ballarat,14107,8066,57.2
2019,6,White Swan,Ballarat,14107,8228,58.3
2019,7,White Swan,Ballarat,14107,8867,62.9
2019,8,White Swan,Ballarat,14107,11087,78.6
2019,9,White Swan,Ballarat,14107,12344,87.5
2019,10,White Swan,Ballarat,14107,12297,87.2
2019,11,White Swan,Ballarat,14107,12262,86.9
2019,12,White Swan,Ballarat,14107,12321,87.3
2020,1,White Swan,Ballarat,14107,11877,84.2
2020,2,White Swan,Ballarat,14107,11306,80.1
2020,3,White Swan,Ballarat,14107,10871,77.1
2020,4,White Swan,Ballarat,14107,10732,76.1
2020,5,White Swan,Ballarat,14107,10477,74.3
2020,6,White Swan,Ballarat,14107,10541,74.7
2020,7,White Swan,Ballarat,14107,10871,77.1
2020,8,White Swan,Ballarat,14107,11394,80.8
2020,9,White Swan,Ballarat,14107,12005,85.1
2020,10,White Swan,Ballarat,14107,12738,90.3
2020,11,White Swan,Ballarat,14107,12582,89.2
2020,12,White Swan,Ballarat,14107,12630,89.5
2021,1,White Swan,Ballarat,14107,12678,89.9
2021,2,White Swan,Ballarat,14107,12498,88.6
2021,3,White Swan,Ballarat,14107,12285,87.1
2021,4,White Swan,Ballarat,14107,11900,84.4
2021,5,White Swan,Ballarat,14107,11717,83.1
2021,6,White Swan,Ballarat,14107,12203,86.5
2021,7,White Swan,Ballarat,14107,12702,90
2021,8,White Swan,Ballarat,14107,12594,89.3
2021,9,White Swan,Ballarat,14107,12606,89.4
2021,10,White Swan,Ballarat,14107,12582,89.2
2021,11,White Swan,Ballarat,14107,12702,90
2021,12,White Swan,Ballarat,14107,12546,88.9
2022,1,White Swan,Ballarat,14107,12180,86.3
2022,2,White Swan,Ballarat,14107,11831,83.9
2022,3,White Swan,Ballarat,14107,11416,80.9
2022,4,White Swan,Ballarat,14107,11011,78.1
2022,5,White Swan,Ballarat,14107,10968,77.7
2022,6,White Swan,Ballarat,14107,11087,78.6
2022,7,White Swan,Ballarat,14107,11538,81.8
2022,8,White Swan,Ballarat,14107,11981,84.9
2022,9,White Swan,Ballarat,14107,11993,85
2022,10,White Swan,Ballarat,14107,12028,85.3
2022,11,White Swan,Ballarat,14107,11912,84.4
2022,12,White Swan,Ballarat,14107,11993,85
