Year,Month,System,TotalVolume_ML
2010,1,,0
2010,1,Ballarat,17050
2010,1,Bendigo,34561
2010,1,Broken,11012
2010,1,Campaspe,8138
2010,1,Geelong,31879
2010,1,Glenelg/Wimmera,93860
2010,1,Goulburn,1193527
2010,1,Latrobe,198671
2010,1,Loddon,12872
2010,1,Maribyrnong,1249
2010,1,Melbourne,654442
2010,1,Murray,1129160
2010,1,Ovens,35433
2010,1,South Gippsland,6523
2010,1,Thomson/Macalister,103340
2010,1,Werribee,6782
2010,2,,0
2010,2,Ballarat,16866
2010,2,Bendigo,34412
2010,2,Broken,9486
2010,2,Campaspe,7393
2010,2,Geelong,30258
2010,2,Glenelg/Wimmera,85090
2010,2,Goulburn,1110169
2010,2,Latrobe,191468
2010,2,Loddon,11339
2010,2,Maribyrnong,1181
2010,2,Melbourne,630961
2010,2,Murray,982630
2010,2,Ovens,33017
2010,2,South Gippsland,5921
2010,2,Thomson/Macalister,101311
2010,2,Werribee,7033
2010,3,,0
2010,3,Ballarat,17089
2010,3,Bendigo,34029
2010,3,Broken,9340
2010,3,Campaspe,7316
2010,3,Geelong,29041
2010,3,Glenelg/Wimmera,81690
2010,3,Goulburn,1050532
2010,3,Latrobe,186927
2010,3,Loddon,12317
2010,3,Maribyrnong,1152
2010,3,Melbourne,615560
2010,3,Murray,1061200
2010,3,Ovens,25287
2010,3,South Gippsland,5438
2010,3,Thomson/Macalister,86026
2010,3,Werribee,7761
2010,4,,0
2010,4,Ballarat,16462
2010,4,Bendigo,35462
2010,4,Broken,9012
2010,4,Campaspe,7986
2010,4,Geelong,28195
2010,4,Glenelg/Wimmera,79440
2010,4,Goulburn,988358
2010,4,Latrobe,182702
2010,4,Loddon,14814
2010,4,Maribyrnong,1132
2010,4,Melbourne,606390
2010,4,Murray,1651760
2010,4,Ovens,23950
2010,4,South Gippsland,5081
2010,4,Thomson/Macalister,73126
2010,4,Werribee,7400
2010,5,,0
2010,5,Ballarat,15367
2010,5,Bendigo,36657
2010,5,Broken,9012
2010,5,Campaspe,7384
2010,5,Geelong,28479
2010,5,Glenelg/Wimmera,77310
2010,5,Goulburn,1015798
2010,5,Latrobe,185807
2010,5,Loddon,12727
2010,5,Maribyrnong,1124
2010,5,Melbourne,592673
2010,5,Murray,1890050
2010,5,Ovens,22665
2010,5,South Gippsland,5322
2010,5,Thomson/Macalister,66958
2010,5,Werribee,7147
2010,6,,0
2010,6,Ballarat,15168
2010,6,Bendigo,37735
2010,6,Broken,11605
2010,6,Campaspe,8199
2010,6,Geelong,29754
2010,6,Glenelg/Wimmera,79020
2010,6,Goulburn,1164422
2010,6,Latrobe,196512
2010,6,Loddon,13317
2010,6,Maribyrnong,1160
2010,6,Melbourne,611414
2010,6,Murray,2032000
2010,6,Ovens,28280
2010,6,South Gippsland,6671
2010,6,Thomson/Macalister,92550
2010,6,Werribee,7055
2010,7,,0
2010,7,Ballarat,12615
2010,7,Bendigo,43922
2010,7,Broken,18981
2010,7,Campaspe,18437
2010,7,Geelong,31867
2010,7,Glenelg/Wimmera,85740
2010,7,Goulburn,1416606
2010,7,Latrobe,201972
2010,7,Loddon,21597
2010,7,Maribyrnong,1156
2010,7,Melbourne,642028
2010,7,Murray,2316150
2010,7,Ovens,28063
2010,7,South Gippsland,7884
2010,7,Thomson/Macalister,121328
2010,7,Werribee,7705
2010,8,,0
2010,8,Ballarat,22039
2010,8,Bendigo,72668
2010,8,Broken,40022
2010,8,Campaspe,70915
2010,8,Geelong,54908
2010,8,Glenelg/Wimmera,153770
2010,8,Goulburn,1932335
2010,8,Latrobe,212452
2010,8,Loddon,115270
2010,8,Maribyrnong,1706
2010,8,Melbourne,747555
2010,8,Murray,2783500
2010,8,Ovens,29606
2010,8,South Gippsland,8373
2010,8,Thomson/Macalister,164099
2010,8,Werribee,17553
2010,9,,0
2010,9,Ballarat,35831
2010,9,Bendigo,114175
2010,9,Broken,40458
2010,9,Campaspe,149190
2010,9,Geelong,68621
2010,9,Glenelg/Wimmera,208648
2010,9,Goulburn,2448195
2010,9,Latrobe,220408
2010,9,Loddon,207763
2010,9,Maribyrnong,3406
2010,9,Melbourne,850260
2010,9,Murray,3418080
2010,9,Ovens,27671
2010,9,South Gippsland,8373
2010,9,Thomson/Macalister,170588
2010,9,Werribee,31461
2010,10,,0
2010,10,Ballarat,37194
2010,10,Bendigo,119056
2010,10,Broken,41892
2010,10,Campaspe,184995
2010,10,Geelong,69183
2010,10,Glenelg/Wimmera,216810
2010,10,Goulburn,2600467
2010,10,Latrobe,228469
2010,10,Loddon,226346
2010,10,Maribyrnong,4108
2010,10,Melbourne,897087
2010,10,Murray,3716590
2010,10,Ovens,30628
2010,10,South Gippsland,8373
