Year,Month,Total_Volume_ML,Total_Capacity_ML,Statewide_Percent_Full
2010,1,3538499,12293370,28.8
2010,2,3258535,12293370,26.5
2010,3,3230705,12293370,26.3
2010,4,3731270,12293370,30.4
2010,5,3974480,12293370,32.3
2010,6,4334862,12293370,35.3
2010,7,4976051,12293370,40.5
2010,8,6426771,12293370,52.3
2010,9,8003128,12293370,65.1
2010,10,8591266,12293370,69.9
2010,11,8980972,12293370,73.1
2010,12,9203957,12293370,74.9
2011,1,9263505,12293370,75.4
2011,2,9525252,12293370,77.5
2011,3,9594602,12293370,78
2011,4,9575227,12293370,77.9
2011,5,9546135,12293370,77.7
2011,6,9807307,12293370,79.8
2011,7,10153173,12293370,82.6
2011,8,10508035,12293370,85.5
2011,9,10678915,12293370,86.9
2011,10,10827509,12293370,88.1
2011,11,10780750,12293370,87.7
2011,12,10523430,12293370,85.6
2012,1,9997088,12293370,81.3
2012,2,9715882,12293370,79
2012,3,9986492,12293370,81.2
2012,4,9901103,12293370,80.5
2012,5,9953946,12293370,81
2012,6,10504868,12293370,85.5
2012,7,10955227,12293370,89.1
2012,8,11377938,12293370,92.6
2012,9,11683306,12293370,95
2012,10,11623220,12293370,94.5
2012,11,11217045,12293370,91.2
2012,12,10460160,12293370,85.1
2013,1,9633379,12293370,78.4
2013,2,9101967,12293370,74
2013,3,8750539,12293370,71.2
2013,4,8460222,12293370,68.8
2013,5,8446856,12293370,68.7
2013,6,8921316,12293370,72.6
2013,7,9654158,12293370,78.5
2013,8,10595859,12293370,86.2
2013,9,10919150,12293370,88.8
2013,10,10793874,12293370,87.8
2013,11,10500014,12293370,85.4
2013,12,9890080,12293370,80.5
2014,1,9248749,12293370,75.2
2014,2,8644602,12293370,70.3
2014,3,8148820,12293370,66.3
2014,4,8086121,12293370,65.8
2014,5,8246628,12293370,67.1
2014,6,8735241,12293370,71.1
2014,7,9730152,12293370,79.1
2014,8,10106914,12293370,82.2
2014,9,10190774,12293370,82.9
2014,10,9811478,12293370,79.8
2014,11,9319392,12293370,75.8
2014,12,8698465,12293370,70.8
2015,1,8402846,12293370,68.4
2015,2,7566099,12293370,61.5
2015,3,6831911,12293370,55.6
2015,4,6665521,12293370,54.2
2015,5,6735877,12293370,54.8
2015,6,6964055,12293370,56.6
2015,7,7120970,12293370,57.9
2015,8,7431270,12293370,60.4
2015,9,7360680,12293370,59.9
2015,10,6940643,12293370,56.5
2015,11,6623036,12293370,53.9
2015,12,6015778,12293370,48.9
2016,1,5593047,12293370,45.5
2016,2,5046558,12293370,41.1
